Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],thetao [degrees_C],time [hours since 1950-01-01 00:00:00]
global-analysis-forecast-phy-001-024_1650864189395.nc,112,B,2022-04-01T12:00:00,98.41666,1.0,0,0.49402,1.0,98.41666,31.030824,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,113,B,2022-04-01T12:00:00,98.5,1.0,0,0.49402,1.0,98.5,31.082095,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,114,B,2022-04-01T12:00:00,98.58334,1.0,0,0.49402,1.0,98.58334,31.181707,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,115,B,2022-04-01T12:00:00,98.66666,1.0,0,0.49402,1.0,98.66666,31.211005,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,116,B,2022-04-01T12:00:00,98.75,1.0,0,0.49402,1.0,98.75,31.191961,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,117,B,2022-04-01T12:00:00,98.83334,1.0,0,0.49402,1.0,98.83334,31.288644,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,118,B,2022-04-01T12:00:00,98.91666,1.0,0,0.49402,1.0,98.91666,31.378002,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,126,B,2022-04-01T12:00:00,97.91666,1.08333,0,0.49402,1.08333,97.91666,31.003723,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,127,B,2022-04-01T12:00:00,98.0,1.08333,0,0.49402,1.08333,98.0,30.932676,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,128,B,2022-04-01T12:00:00,98.08334,1.08333,0,0.49402,1.08333,98.08334,30.909238,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,129,B,2022-04-01T12:00:00,98.16666,1.08333,0,0.49402,1.08333,98.16666,30.898251,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,130,B,2022-04-01T12:00:00,98.25,1.08333,0,0.49402,1.08333,98.25,30.904843,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,131,B,2022-04-01T12:00:00,98.33334,1.08333,0,0.49402,1.08333,98.33334,30.999329,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,132,B,2022-04-01T12:00:00,98.41666,1.08333,0,0.49402,1.08333,98.41666,31.068178,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,133,B,2022-04-01T12:00:00,98.5,1.08333,0,0.49402,1.08333,98.5,31.10773,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,134,B,2022-04-01T12:00:00,98.58334,1.08333,0,0.49402,1.08333,98.58334,31.191961,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,135,B,2022-04-01T12:00:00,98.66666,1.08333,0,0.49402,1.08333,98.66666,31.224189,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,136,B,2022-04-01T12:00:00,98.75,1.08333,0,0.49402,1.08333,98.75,31.240303,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,137,B,2022-04-01T12:00:00,98.83334,1.08333,0,0.49402,1.08333,98.83334,31.364086,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,138,B,2022-04-01T12:00:00,98.91666,1.08333,0,0.49402,1.08333,98.91666,31.390454,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,143,B,2022-04-01T12:00:00,97.66666,1.16667,0,0.49402,1.16667,97.66666,31.073305,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,144,B,2022-04-01T12:00:00,97.75,1.16667,0,0.49402,1.16667,97.75,31.082095,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,145,B,2022-04-01T12:00:00,97.83334,1.16667,0,0.49402,1.16667,97.83334,31.095279,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,146,B,2022-04-01T12:00:00,97.91666,1.16667,0,0.49402,1.16667,97.91666,30.992737,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,147,B,2022-04-01T12:00:00,98.0,1.16667,0,0.49402,1.16667,98.0,30.909238,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,148,B,2022-04-01T12:00:00,98.08334,1.16667,0,0.49402,1.16667,98.08334,30.913633,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,149,B,2022-04-01T12:00:00,98.16666,1.16667,0,0.49402,1.16667,98.16666,30.932676,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,150,B,2022-04-01T12:00:00,98.25,1.16667,0,0.49402,1.16667,98.25,30.956847,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,151,B,2022-04-01T12:00:00,98.33334,1.16667,0,0.49402,1.16667,98.33334,31.042543,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,152,B,2022-04-01T12:00:00,98.41666,1.16667,0,0.49402,1.16667,98.41666,31.101138,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,153,B,2022-04-01T12:00:00,98.5,1.16667,0,0.49402,1.16667,98.5,31.129704,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,154,B,2022-04-01T12:00:00,98.58334,1.16667,0,0.49402,1.16667,98.58334,31.204413,633324
