Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,67,B,2022-04-01T12:00:00,98.0,0.83333,0,0.49402,0.83333,98.0,633324,0.043947,-0.220954
global-analysis-forecast-phy-001-024_1650864290144.nc,68,B,2022-04-01T12:00:00,98.08334,0.83333,0,0.49402,0.83333,98.08334,633324,0.057375,-0.228278
global-analysis-forecast-phy-001-024_1650864290144.nc,69,B,2022-04-01T12:00:00,98.16666,0.83333,0,0.49402,0.83333,98.16666,633324,0.053102,-0.200201
global-analysis-forecast-phy-001-024_1650864290144.nc,70,B,2022-04-01T12:00:00,98.25,0.83333,0,0.49402,0.83333,98.25,633324,0.043947,-0.175787
global-analysis-forecast-phy-001-024_1650864290144.nc,71,B,2022-04-01T12:00:00,98.33334,0.83333,0,0.49402,0.83333,98.33334,633324,0.03357,-0.159917
global-analysis-forecast-phy-001-024_1650864290144.nc,72,B,2022-04-01T12:00:00,98.41666,0.83333,0,0.49402,0.83333,98.41666,633324,0.021363,-0.145878
global-analysis-forecast-phy-001-024_1650864290144.nc,73,B,2022-04-01T12:00:00,98.5,0.83333,0,0.49402,0.83333,98.5,633324,0.007324,-0.13123
global-analysis-forecast-phy-001-024_1650864290144.nc,74,B,2022-04-01T12:00:00,98.58334,0.83333,0,0.49402,0.83333,98.58334,633324,-0.004273,-0.134281
global-analysis-forecast-phy-001-024_1650864290144.nc,75,B,2022-04-01T12:00:00,98.66666,0.83333,0,0.49402,0.83333,98.66666,633324,-0.005493,-0.154424
global-analysis-forecast-phy-001-024_1650864290144.nc,76,B,2022-04-01T12:00:00,98.75,0.83333,0,0.49402,0.83333,98.75,633324,-0.001221,-0.160527
global-analysis-forecast-phy-001-024_1650864290144.nc,77,B,2022-04-01T12:00:00,98.83334,0.83333,0,0.49402,0.83333,98.83334,633324,0.004273,-0.140996
global-analysis-forecast-phy-001-024_1650864290144.nc,78,B,2022-04-01T12:00:00,98.91666,0.83333,0,0.49402,0.83333,98.91666,633324,0.007935,-0.089724
global-analysis-forecast-phy-001-024_1650864290144.nc,79,B,2022-04-01T12:00:00,99.0,0.83333,0,0.49402,0.83333,99.0,633324,0.008545,-0.079958
global-analysis-forecast-phy-001-024_1650864290144.nc,86,B,2022-04-01T12:00:00,97.91666,0.91667,0,0.49402,0.91667,97.91666,633324,0.069582,-0.162358
global-analysis-forecast-phy-001-024_1650864290144.nc,87,B,2022-04-01T12:00:00,98.0,0.91667,0,0.49402,0.91667,98.0,633324,0.08179,-0.232551
